120,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,3,0,0,10,10,0,1
3492,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,2,2,0,0,1,0,0,2,4,6,11,0,35
3504,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,3,0,0,0,0,0,1,4,4,1,0,0,3,3,15,16,0,35
3814,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,2,0,0,1,1,4,10,0,35
4920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,0,35
120,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,1,1,0,0,0,0,0,4,6,0,0,12,12,0,36
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,36
2016,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,2,2,2,2,2,2,0,0,2,2,2,0,0,1,1,20,26,0,36
4028,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,0,0,1,4,4,0,0,6,9,0,36
5749,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,0,0,2,3,20,21,0,36
128,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,0,0,2,2,6,8,0,37
451,0,0,0,0,0,6,1,1,0,4,0,0,0,0,2,0,0,1,1,4,4,4,4,5,5,1,0,0,0,0,15,18,0,37
4256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,2,3,0,0,5,6,0,37
5484,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,1,3,5,0,0,25,26,0,37
2408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,2,0,38
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,2,2,0,38
4213,0,0,0,0,0,0,0,0,0,0,1,1,0,0,18,1,1,3,3,0,0,0,0,0,0,1,0,0,0,0,14,33,0,38
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,1,3,3,0,0,0,1,0,0,2,0,0,3,3,14,36,0,39
1985,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2,2,2,0,1,1,0,0,1,1,21,22,0,39
3324,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,39
4145,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,4,4,8,9,0,39
6181,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,4,0,39
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,18,0,40
279,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,3,0,0,3,3,2,3,1,0,0,0,0,17,18,0,40
1038,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,0,1,2,2,0,0,8,9,0,40
2040,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0,7,0,40
2399,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,2,2,1,1,0,0,0,0,0,0,0,0,0,3,3,13,19,0,40
2603,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,1,2,2,15,16,0,41
3010,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,41
3504,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,2,0,0,2,2,0,0,1,0,0,4,4,8,11,0,41
4284,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,3,5,0,41
5492,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,2,2,0,0,3,2,2,0,0,0,41
868,0,0,1,1,0,0,0,0,0,0,1,1,0,0,6,0,0,1,1,2,2,2,2,0,0,1,4,4,0,0,9,16,0,42
3777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,10,10,0,42
4028,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,5,7,5,10,1,5,5,0,0,5,8,0,42
4920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,42
5484,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,3,4,0,42
337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,2,3,0,45
2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,45
3260,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,1,1,0,0,1,1,6,0,0,13,18,0,45
3266,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,8,15,0,45
4115,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
128,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,1,2,6,8,0,46
245,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,1,1,0,0,1,4,5,0,0,5,10,0,46
3138,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,0,0,0,4,4,0,0,6,8,0,46
5749,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,1,0,0,2,2,15,16,0,46
5811,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,3,3,0,0,1,1,1,0,0,5,5,34,35,0,46
554,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,0,1,0,0,2,2,15,16,0,47
1708,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6,6,0,47
2016,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,1,0,0,3,5,2,3,0,47
4920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,3,4,0,47
5809,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,1,1,2,2,0,0,0,0,1,0,0,1,1,7,12,0,47
120,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,3,5,0,0,15,16,0,48
2603,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,4,4,4,5,0,48
3821,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,48
4145,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,8,8,0,48
5667,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,7,0,48
63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,2,2,2,0,0,3,3,11,13,0,49
279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,0,2,3,0,49
1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,49
3814,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,2,2,0,0,3,6,6,8,0,49
6185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,49
337,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,1,1,1,2,2,3,3,2,0,0,0,0,7,11,0,50
3492,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,2,7,0,50
4028,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,1,0,0,1,5,5,0,0,3,8,0,50
6084,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,10,11,0,50
6181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,1,0,0,2,0,0,1,1,4,8,0,51
451,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,1,1,1,1,2,2,1,0,0,0,0,6,13,0,51
3138,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,51
3260,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,1,1,1,1,1,1,0,0,0,0,0,4,4,0,0,10,16,0,51
4284,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,6,7,0,51
1038,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,0,0,1,3,0,52
1708,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,4,4,0,0,0,2,2,25,25,0,52
1939,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,6,8,0,52
3201,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,1,1,2,2,0,0,0,0,1,0,0,2,2,7,12,0,52
4115,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,0,0,5,6,0,52
245,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,3,5,0,0,10,10,0,53
1014,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,2,7,7,0,53
2040,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,53
3324,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,2,2,1,0,0,6,7,8,9,0,53
5809,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,3,9,0,53
1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,54
3266,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,7,8,0,54
5484,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,13,14,0,54
5492,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,5,5,0,54
144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,10,10,0,55
554,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,1,1,10,10,0,55
3484,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,6,6,1,1,0,0,0,0,0,0,0,0,1,2,3,33,33,0,55
5413,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,1,1,1,3,4,0,0,2,7,0,55
5811,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,2,0,0,0,0,0,4,5,10,10,0,55
868,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,2,2,1,1,0,3,4,3,3,12,12,0,56
2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,1,1,0,0,6,6,0,56
2399,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,1,1,2,2,0,0,1,2,0,0,0,0,0,4,5,12,18,0,56
4085,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,1,0,0,1,0,0,0,1,5,6,0,56
4256,0,0,1,1,0,0,0,0,0,0,0,1,0,0,6,4,4,1,1,1,1,1,1,0,0,0,2,4,0,0,26,32,0,56
2408,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,1,1,0,0,0,0,0,0,1,0,0,8,14,0,59
3201,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,24,0,59
3814,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,3,4,0,59
4145,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,2,0,0,0,0,0,0,1,0,1,1,1,11,12,0,59
5492,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,4,0,59
3010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,5,5,0,60
3266,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,3,0,0,2,2,1,1,0,0,0,0,0,8,10,0,60
4213,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5,0,0,5,5,0,60
4521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,1,0,0,0,0,0,0,0,0,0,3,4,3,23,0,60
6185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,60
1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,2,2,8,9,0,61
1708,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,1,0,0,0,61
2399,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,0,0,0,0,2,2,3,5,0,61
2603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,61
3260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,16,0,61
451,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,2,2,0,0,1,1,1,0,0,0,0,13,14,0,62
1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,62
2051,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,5,5,1,1,0,0,0,0,0,0,0,0,0,0,1,28,34,0,62
3504,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,2,0,0,1,1,0,0,0,2,2,7,7,0,62
5749,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,10,11,0,62
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,2,1,1,2,0,0,1,1,7,9,0,63
3138,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,0,0,1,1,2,2,3,5,0,63
3484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,63
3492,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,7,7,0,0,3,3,0,0,0,1,2,17,17,0,63
3777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,3,1,1,1,1,0,0,0,5,5,12,12,0,63
144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,3,3,25,25,0,64
4085,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0,0,2,2,2,2,0,0,1,0,0,10,10,0,64
4256,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,7,0,64
5809,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,2,2,0,64
6181,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,2,2,2,2,0,1,0,0,0,0,1,1,1,0,0,16,23,0,64
1308,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3,4,4,2,2,0,0,1,0,0,0,0,19,20,0,65
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,7,2,2,0,0,0,3,3,0,0,22,22,0,65
3324,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,4,10,10,0,65
5413,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,7,0,0,4,4,0,65
5667,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,2,2,0,0,1,0,2,0,0,6,11,0,65
128,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,4,4,0,0,0,0,2,1,5,0,66
868,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,3,3,0,0,0,0,1,5,5,0,0,9,10,0,66
4115,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,1,1,1,1,1,1,0,0,0,0,0,0,2,0,0,10,14,0,66
4521,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,1,0,0,5,10,2,5,0,66
6084,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,66
